Cartell MMID,Make,Model,CC,Fuel,Body,Transmission,Doors,Power,BHP,KW,Technical Variant,Construction From,Mark,Trim,Engine Codes,Aspiration,Cylinders,Valves Per cylinder,Drive
17814,TOYOTA,COROLLA,1995,DIESEL,HATCHBACK,Manual,5,109BHP,110,81,,1/01/02,9,SPIRIT,1CD-FTV,Direct Injection,4,4,Front Wheel Drive
18296,TOYOTA,COROLLA VERSO,1794,PETROL,MPV,Manual,5,129BHP,129,95,R1_,1/04/04,1,T2,1ZZ-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
18322,TOYOTA,COROLLA,1398,PETROL,HATCHBACK,Manual,5,97BHP,97,71,,1/01/02,9,SOL,4ZZ-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
18346,TOYOTA,COROLLA,1364,DIESEL,SALOON,Manual,4,90BHP,90,66,,1/07/04,9,T2,1ND-TV,Direct Injection,4,2,Front Wheel Drive
18606,TOYOTA,COROLLA,1332,PETROL,ESTATE,Manual,5,86BHP,86,63,__E11_,1/04/97,8,TERRA,4E-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
18732,TOYOTA,COROLLA,1398,PETROL,HATCHBACK,Manual,5,97BHP,97,71,,1/01/02,9,,4ZZ-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
18774,TOYOTA,COROLLA,1598,PETROL,HATCHBACK,Automatic,5,110BHP,110,81,,1/01/02,9,MC,3ZZ-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
18870,TOYOTA,COROLLA,1598,PETROL,ESTATE,Manual,5,81KW,110,81,,1/01/02,9,TERRA,3ZZ-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
19092,TOYOTA,COROLLA,1331,PETROL,SALOON,Manual,5,88BHP,88,65,_E10_,1/07/92,0,XLI,4E-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
19128,TOYOTA,COROLLA,1975,DIESEL,ESTATE,Manual,5,72BHP,72,53,__E11_,1/04/97,7,,2C-E,Prechamber Engine,4,2,Front Wheel Drive
19140,TOYOTA,COROLLA,1332,PETROL,SALOON,Manual,5,86BHP,86,63,_E11_,1/04/97,8,TERRA,4E-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
19418,TOYOTA,COROLLA,1398,PETROL,HATCHBACK,Manual,5,71KW,97,71,,1/01/02,9,SOL,4ZZ-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
19502,TOYOTA,COROLLA,1398,PETROL,HATCHBACK,Manual,5,97BHP,97,71,,1/01/02,9,LUNA,4ZZ-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
19522,TOYOTA,COROLLA,1364,DIESEL,SALOON,Manual,4,90BHP,90,66,,1/07/04,9,STRATA,1ND-TV,Direct Injection,4,2,Front Wheel Drive
19962,TOYOTA,COROLLA,1794,PETROL,ESTATE,Manual,5,129BHP,129,95,R1_,1/04/04,1,TERRA,1ZZ-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
